StudentID,PP,FSM,FSM_Ever6,Group,Attendance,BehaviourPoints,AP1_Score,SEN
1,No,No,No,7N/Ma,97.22,0,45,N
2,No,No,No,7N/Ma,98.41,0,39,N
3,Yes,Yes,Yes,7N/Ma,81.82,-464,21,
4,Yes,No,Yes,7N/Ma,100,-16,31,
5,No,No,No,7N/Ma,96.03,-14,48,N
6,Yes,Yes,Yes,7N/Ma,96,-16,18,
7,Yes,Yes,Yes,7N/Ma,78.41,-269,34,N
8,No,No,No,7N/Ma,99.2,-2,35,K
9,Yes,Yes,Yes,7N/Ma,97.62,-2,45,
10,No,No,No,7N/Ma,89.34,-194,9,N
11,Yes,Yes,Yes,7N/Ma,91.06,-178,22,
12,Yes,Yes,Yes,7N/Ma,100,-43,2,K
13,Yes,Yes,Yes,7N/Ma,96.03,-104,1,N
14,No,No,No,7N/Ma,91.27,0,48,
15,Yes,Yes,Yes,7N/Ma,88.89,-520,0.2,K
16,No,No,No,7N/Ma,100,0,50,
17,No,No,No,7N/Ma,70.8,-179,10,
18,Yes,Yes,Yes,7N/Ma,93.25,-41,48,N
19,No,No,No,7N/Ma,100,-4,8,N
20,No,No,No,7N/Ma,60.33,-423,0.2,K
